ID,Post,Labels,Simple_Labels,SubCategory,"Simple_Labels,SubCategory",,
1,બંન્ને કેવી ગાળો બોલે .. કોય ને સાથ ના આપતા..આપડે તો ખાલી જોવા થીજ મતલબ 😀😀😀😀😂😀😀😀😂😀😀😀😀😂😀😂😂😂😂😂😂👍👍👍,"""Non-Hate"",""Neutral""",Non-Hate,Neutral,"Non-Hate,Neutral","""Non-Hate""","""Neutral"""
2,જય જય ગરવી ગુજરાત,"""Non-Hate"",""Positive""",Non-Hate,Positive,"Non-Hate,Positive","""Non-Hate""","""Positive"""
3,કચ્છમાં ખંડણી માટે ફાયરિંગ કરીને હત્યા નિપજાવાયાની આ પ્રથમ ઘટનાને પગલે પોલીસ તંત્ર દોડતું થઈ ગયું છે,"""Non-Hate"",""Neutral""",Non-Hate,Neutral,"Non-Hate,Neutral","""Non-Hate""","""Neutral"""
4,આજે સમગ્ર વિસ્તારમાં ઠંડકનો માહોલ જોવા મળ્યો હતો જેને લઈ ખેડુતોએ પણ આનંદ વ્યકત કર્યો હતો,"""Non-Hate"",""Positive""",Non-Hate,Positive,"Non-Hate,Positive","""Non-Hate""","""Positive"""
5,પાટીદાર અનામત આંદોલનકારીઓએ હવે રાજય સરકાર સામે બાંયો ચડાવી છે,"""Non-Hate"",""Neutral""",Non-Hate,Neutral,"Non-Hate,Neutral","""Non-Hate""","""Neutral"""
6,કોવિડના સમય દરમ્યાન NCCના Cadet ની પણ ખૂબ સારી સમાજને મદદ અને પ્રવૃત્તિ દ્વારા આપણે આમાં સફળ થયાં છીએ.,"""Non-Hate"",""Positive""",Non-Hate,Positive,"Non-Hate,Positive","""Non-Hate""","""Positive"""
7,સંનિષ્ઠ કામગીરી કરનાર ભરૂચ પોલીસને રૂપિયા પાંચ લાખનું ઇનામ આપી પ્રોત્સાહિત કરવા રાજય સરકારનો નિર્ણય,"""Non-Hate"",""Positive""",Non-Hate,Positive,"Non-Hate,Positive","""Non-Hate""","""Positive"""
8,જનઆરોગ્ય સુવિધાની વૃદ્ધિ માટે સંવેદનાત્મક અભિગમ સાથે રાજ્ય સરકારનો મહત્વપૂર્ણ નિર્ણય,"""Non-Hate"",""Positive""",Non-Hate,Positive,"Non-Hate,Positive","""Non-Hate""","""Positive"""
9,તમારા નેજા હેઠળ ગુજરાત મા હિંસા થઈ રહી છે.,"""Hate"",""Accusations""",Hate,Accusations,"Hate,Accusations","""Hate""","""Accusations"""
10,બેરોજગારો ને રોજગાર આપો નહિ તો તમે બેરોજગાર થઈ જશો!!,"""Hate"",""Promoting violence""",Hate,Promoting violence,"Hate,Promoting violence","""Hate""","""Promoting violence"""
11,મહેસાણાના વિજાપુર તાલુકામાં આવેલ વસાઈ પ્રાથમિક શાળામાં આજે શાળા પ્રવેશોત્સવ કાર્યક્રમ યોજાયો હતો,"""Non-Hate"",""Positive""",Non-Hate,Positive,"Non-Hate,Positive","""Non-Hate""","""Positive"""
12,હૂં અધિકારીઓની આડોડાઈ નો શિકાર બન્યો છું નથી મારી નાંખતા કે નથી મરવા દેતાં,"""Hate"",""Promoting violence""",Hate,Promoting violence,"Hate,Promoting violence","""Hate""","""Promoting violence"""
13,મરેલા ઓ નો દેશ છે અને ઠગો નું રાજ,"""Hate"",""Accusations""",Hate,Accusations,"Hate,Accusations","""Hate""","""Accusations"""
14,"પ્રાઇવેટ સ્કૂલોની દાદાગીરી બંદ કરવો. સરકારીની સુવિધા વધારો ,કે નેતાઓની જ સ્કૂલો છે?","""Hate"",""Accusations""",Hate,Accusations,"Hate,Accusations","""Hate""","""Accusations"""
15,મારાં પાસે 22 yer નો અનુભવ હોવા છતાં પણ જોબ નથી,"""Non-Hate"",""Neutral""",Non-Hate,Neutral,"Non-Hate,Neutral","""Non-Hate""","""Neutral"""
16,"ગુંડા ગર્દી, નીચલી કક્ષા ની રાજનીતિ કરો છો, શરમ કરો શરમ , કાશ્મીર માં જૈશ ના લોકો હુમલો કરે ,અને ગુજરાત માં .એ લોકો માં ને તમારા માં બોવ જજો ફરક નથી","""Hate"",""Accusations""",Hate,Accusations,"Hate,Accusations","""Hate""","""Accusations"""
17,વિજયભાઈ તમે ગુજરાતને રાંડેલી બાઈ જેવુ કરી નાખ્યુ છે.,"""Hate"",""Swearing""",Hate,Swearing,"Hate,Abusive","""Hate""","""Swearing"""
18,સંવેદનશીલ મુખ્યમંત્રી ને અભિનંદન,"""Non-Hate"",""Positive""",Non-Hate,Positive,"Non-Hate,Positive","""Non-Hate""","""Positive"""
19,આખરે કંટાળી ગયેલી પુષ્પાએ ઘરમાં ઝેરી દવા ગટગટાવી લીધી હતી,"""Non-Hate"",""Neutral""",Non-Hate,Neutral,"Non-Hate,Neutral","""Non-Hate""","""Neutral"""
20,છેલ્લા ઘણા સમયથી પૈસા બાકી હોવાથી હવે ઉધારમાં ચા આપવાનું બંધ કર્યું છે,"""Non-Hate"",""Neutral""",Non-Hate,Neutral,"Non-Hate,Neutral","""Non-Hate""","""Neutral"""
21,શાહે ભરોસો આપ્યો કે ભાજપની સરકાર આવશે તો ગુંડાઓ અને ભ્રષ્ટાચારીઓ નહીં બચે,"""Non-Hate"",""Neutral""",Non-Hate,Neutral,"Non-Hate,Neutral","""Non-Hate""","""Neutral"""
